,Unnamed: 0,user_id,session_id,timestamp,step,action_type,item_id,platform,city,device,current_filters,impressions,prices,action
0,0,0,0,1541037460,1,search for poi,0,AU,"Sydney, Australia",mobile,,,,
1,1,0,0,1541037522,2,interaction item image,1,AU,"Sydney, Australia",mobile,,,,3.0
2,2,0,0,1541037522,3,interaction item image,1,AU,"Sydney, Australia",mobile,,,,3.0
3,3,0,0,1541037532,4,interaction item image,1,AU,"Sydney, Australia",mobile,,,,3.0
4,4,0,0,1541037532,5,interaction item image,2,AU,"Sydney, Australia",mobile,,,,3.0
5,5,0,0,1541037532,6,interaction item image,1,AU,"Sydney, Australia",mobile,,,,3.0
6,6,0,0,1541037532,7,interaction item image,2,AU,"Sydney, Australia",mobile,,,,3.0
7,7,0,0,1541037532,8,interaction item image,1,AU,"Sydney, Australia",mobile,,,,3.0
8,8,0,0,1541037542,9,interaction item image,2,AU,"Sydney, Australia",mobile,,,,3.0
9,9,0,0,1541037542,10,interaction item image,2,AU,"Sydney, Australia",mobile,,,,3.0
10,10,0,0,1541037542,11,interaction item image,2,AU,"Sydney, Australia",mobile,,,,3.0
11,11,0,0,1541037542,12,interaction item image,2,AU,"Sydney, Australia",mobile,,,,3.0
12,12,0,0,1541037542,13,interaction item image,2,AU,"Sydney, Australia",mobile,,,,3.0
13,13,0,0,1541037543,14,clickout item,2,AU,"Sydney, Australia",mobile,,3400638|1253714|3367857|5100540|1088584|666916|54833|2922310|9711560|109038|666856|10077318|1431482|129343|6339822|6806806|1041528|109013|3909420|55088|3095758|109018|54885|1257342|2595006,95|66|501|112|95|100|101|72|82|56|56|143|70|25|71|162|73|143|188|118|77|131|143|49|165,0.0
14,14,0,0,1541038469,15,search for poi,3,AU,"Sydney, Australia",mobile,,,,
15,15,0,0,1541038485,16,clickout item,4,AU,"Sydney, Australia",mobile,,55109|129343|54824|2297972|109014|1257342|1031578|109018|1332971|666916|54833|54885|2237222|10077318|1166793|9132132|1474297|3909420|6622154|55091|8444418|54804|2050977|666936|55088,162|25|150|143|101|49|118|131|18|100|101|143|51|143|123|36|66|188|124|138|94|137|180|112|118,0.0
16,16,1,1,1541030832,1,interaction item info,5,BR,"Ubatuba, Brazil",mobile,,,,2.0
17,17,1,1,1541030843,2,interaction item image,5,BR,"Ubatuba, Brazil",mobile,,,,3.0
18,18,1,1,1541030843,3,interaction item image,5,BR,"Ubatuba, Brazil",mobile,,,,3.0
19,19,1,1,1541030852,4,interaction item info,5,BR,"Ubatuba, Brazil",mobile,,,,2.0
20,20,1,1,1541030867,5,interaction item info,6,BR,"Ubatuba, Brazil",mobile,,,,2.0
21,21,1,1,1541030877,6,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
22,22,1,1,1541030877,7,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
23,23,1,1,1541030887,8,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
24,24,1,1,1541030887,9,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
25,25,1,1,1541030887,10,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
26,26,1,1,1541030897,11,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
27,27,1,1,1541030897,12,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
28,28,1,1,1541030897,13,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
29,29,1,1,1541030897,14,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
30,30,1,1,1541030897,15,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
31,31,1,1,1541030908,16,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
32,32,1,1,1541030908,17,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
33,33,1,1,1541030908,18,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
34,34,1,1,1541030908,19,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
35,35,1,1,1541030918,20,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
36,36,1,1,1541030918,21,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
37,37,1,1,1541030918,22,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
38,38,1,1,1541030918,23,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
39,39,1,1,1541030918,24,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
40,40,1,1,1541030918,25,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
41,41,1,1,1541030918,26,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
42,42,1,1,1541030928,27,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
43,43,1,1,1541030978,28,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
44,44,1,1,1541031009,29,interaction item info,6,BR,"Ubatuba, Brazil",mobile,,,,2.0
45,45,1,1,1541031024,30,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
46,46,1,1,1541031024,31,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
47,47,1,1,1541031034,32,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
48,48,1,1,1541031034,33,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
49,49,1,1,1541031034,34,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
50,50,1,1,1541031034,35,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
51,51,1,1,1541031034,36,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
52,52,1,1,1541031034,37,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
53,53,1,1,1541031034,38,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
54,54,1,1,1541031034,39,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
55,55,1,1,1541031034,40,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
56,56,1,1,1541031034,41,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
57,57,1,1,1541031044,42,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
58,58,1,1,1541031044,43,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
59,59,1,1,1541031044,44,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
60,60,1,1,1541031044,45,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
61,61,1,1,1541031044,46,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
62,62,1,1,1541031044,47,interaction item deals,6,BR,"Ubatuba, Brazil",mobile,,,,4.0
63,63,1,1,1541031064,48,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
64,64,1,1,1541031064,49,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
65,65,1,1,1541031088,50,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
66,66,1,1,1541031088,51,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
67,67,1,1,1541031088,52,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
68,68,1,1,1541031088,53,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
69,69,1,1,1541031088,54,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
70,70,1,1,1541031088,55,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
71,71,1,1,1541031098,56,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
72,72,1,1,1541031098,57,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
73,73,1,1,1541031108,58,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
74,74,1,1,1541031108,59,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
75,75,1,1,1541031108,60,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
76,76,1,1,1541031108,61,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
77,77,1,1,1541031108,62,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
78,78,1,1,1541031108,63,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
79,79,1,1,1541031108,64,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
80,80,1,1,1541031115,65,interaction item image,6,BR,"Ubatuba, Brazil",mobile,,,,3.0
81,81,2,2,1541063730,1,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
82,82,2,2,1541063730,2,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
83,83,2,2,1541063740,3,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
84,84,2,2,1541063740,4,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
85,85,2,2,1541063740,5,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
86,86,2,2,1541063750,6,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
87,87,2,2,1541063760,7,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
88,88,2,2,1541063760,8,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
89,89,2,2,1541063760,9,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
90,90,2,2,1541063770,10,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
91,91,2,2,1541063770,11,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
92,92,2,2,1541063770,12,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
93,93,2,2,1541063770,13,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
94,94,2,2,1541063770,14,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
95,95,2,2,1541063770,15,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
96,96,2,2,1541063770,16,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
97,97,2,2,1541063780,17,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
98,98,2,2,1541063780,18,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
99,99,2,2,1541063790,19,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
100,100,2,2,1541063790,20,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
101,101,2,2,1541063790,21,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
102,102,2,2,1541063790,22,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
103,103,2,2,1541063790,23,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
104,104,2,2,1541063800,24,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
105,105,2,2,1541063800,25,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
106,106,2,2,1541063800,26,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
107,107,2,2,1541063810,27,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
108,108,2,2,1541063810,28,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
109,109,2,2,1541063810,29,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
110,110,2,2,1541063810,30,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
111,111,2,2,1541063810,31,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
112,112,2,2,1541063810,32,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
113,113,2,2,1541063851,33,interaction item image,7,FI,"Krakow, Poland",mobile,,,,3.0
114,114,2,2,1541063863,34,interaction item info,7,FI,"Krakow, Poland",mobile,,,,2.0
115,115,2,2,1541063864,35,clickout item,7,FI,"Krakow, Poland",mobile,,2795374|5582964|1088390|2781070|1258068|1271962|3184892|148884|3528776|107183|5156744|107048|1907333|3370484|6003326|8436316|9025316|125181|3861490|131257|4415954|107162|3143352|6652864|8118684,64|54|36|121|76|81|92|40|73|52|98|104|56|414|67|111|21|122|55|104|56|64|40|29|44,0.0
116,116,3,3,1541100038,1,search for destination,8,UK,"London, United Kingdom",desktop,,,,
117,117,3,3,1541100132,2,search for poi,9,UK,"London, United Kingdom",desktop,,,,
118,118,3,3,1541100193,3,search for poi,10,UK,"London, United Kingdom",desktop,,,,
119,119,3,3,1541100314,4,interaction item image,11,UK,"London, United Kingdom",desktop,,,,3.0
120,120,3,3,1541100314,5,interaction item image,11,UK,"London, United Kingdom",desktop,,,,3.0
121,121,3,3,1541100322,6,clickout item,11,UK,"London, United Kingdom",desktop,,12693|46363|81657|18448|47687|152913|18417|927627|4147572|819616|18380|47333|18425|1255377|4043482|1032816|18388|1216900|106471|106567|12667|84082|1152188|98737|47410,104|92|100|103|102|104|72|85|81|75|107|86|98|83|98|103|105|99|106|99|98|96|96|105|99,0.0
122,122,3,3,1541100652,7,clickout item,11,UK,"London, United Kingdom",desktop,,12693|46363|81657|18448|47687|152913|18417|927627|4147572|819616|18380|47333|18425|1255377|4043482|1032816|18388|1216900|106471|106567|12667|84082|1152188|98737|47410,104|92|100|103|102|104|72|85|81|75|107|86|98|83|98|103|105|99|106|99|98|96|96|105|99,0.0
123,123,4,4,1541107285,1,search for destination,12,US,"Bakersfield, USA",desktop,,,,
124,124,4,4,1541107286,2,search for destination,12,US,"Bakersfield, USA",desktop,,,,
125,125,4,4,1541107336,3,filter selection,13,US,"Bakersfield, USA",desktop,Very Good Rating,,,
126,126,4,4,1541107366,4,filter selection,14,US,"Bakersfield, USA",desktop,Very Good Rating|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,,
127,127,4,4,1541107366,5,filter selection,15,US,"Bakersfield, USA",desktop,Very Good Rating|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,,
128,128,4,4,1541107366,6,filter selection,16,US,"Bakersfield, USA",desktop,Very Good Rating|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,,
129,129,4,4,1541107366,7,filter selection,17,US,"Bakersfield, USA",desktop,Very Good Rating|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,,
130,130,4,4,1541107366,8,filter selection,18,US,"Bakersfield, USA",desktop,Very Good Rating|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,,
131,131,4,4,1541107366,9,filter selection,19,US,"Bakersfield, USA",desktop,Very Good Rating|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,,
132,132,4,4,1541107368,10,filter selection,14,US,"Bakersfield, USA",desktop,Very Good Rating|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES)|3 Star,,,
133,133,4,4,1541107368,11,filter selection,15,US,"Bakersfield, USA",desktop,Very Good Rating|5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES)|3 Star,,,
